object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,wordID,id,speakerID,listenerID
redSquare2,redSquare1,spottedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,1,word16,game116,2,1
blueSquare2,redSquare1,spottedCircle1,stripedCircle1,stripedCircle1,spottedCircle1,2,word7,game116,1,2
spottedCircle2,blueSquare1,redSquare1,spottedCircle1,spottedCircle1,spottedCircle2,3,word7,game116,2,1
blueSquare1,spottedCircle1,blueSquare2,spottedCircle2,spottedCircle2,blueSquare2,4,word7,game116,1,2
redSquare2,stripedCircle1,redSquare1,blueSquare1,blueSquare1,redSquare2,5,word8,game116,2,1
redSquare2,spottedCircle1,redSquare1,blueSquare2,blueSquare2,redSquare2,6,word8,game116,1,2
stripedCircle2,blueSquare2,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,7,word10,game116,2,1
spottedCircle1,stripedCircle1,blueSquare1,redSquare2,redSquare2,spottedCircle1,8,word5,game116,1,2
blueSquare1,blueSquare2,spottedCircle1,redSquare1,redSquare1,blueSquare2,9,word5,game116,2,1
blueSquare2,stripedCircle1,redSquare1,stripedCircle2,stripedCircle2,blueSquare2,10,word9,game116,1,2
blueSquare1,stripedCircle2,stripedCircle1,spottedCircle2,spottedCircle2,blueSquare1,11,word12,game116,2,1
redSquare2,stripedCircle2,spottedCircle2,redSquare1,redSquare1,redSquare1,12,word13,game116,1,2
stripedCircle2,redSquare1,stripedCircle1,redSquare2,redSquare2,stripedCircle1,13,word5,game116,2,1
stripedCircle2,blueSquare2,redSquare1,blueSquare1,blueSquare1,blueSquare1,14,word16,game116,1,2
redSquare1,stripedCircle2,redSquare2,spottedCircle1,spottedCircle1,redSquare1,15,word15,game116,2,1
stripedCircle2,redSquare1,blueSquare1,blueSquare2,blueSquare2,blueSquare2,16,word3,game116,1,2
blueSquare1,spottedCircle2,blueSquare2,redSquare2,redSquare2,redSquare2,17,word5,game116,2,1
stripedCircle1,stripedCircle2,redSquare2,redSquare1,redSquare1,stripedCircle1,18,word15,game116,1,2
redSquare1,blueSquare1,stripedCircle2,redSquare2,redSquare2,redSquare2,19,word5,game116,2,1
spottedCircle1,stripedCircle1,redSquare2,blueSquare2,blueSquare2,blueSquare2,20,word3,game116,1,2
blueSquare1,spottedCircle2,spottedCircle1,redSquare1,redSquare1,redSquare1,21,word13,game116,2,1
blueSquare1,redSquare2,stripedCircle1,spottedCircle1,spottedCircle1,stripedCircle1,22,word6,game116,1,2
blueSquare2,spottedCircle1,spottedCircle2,stripedCircle1,stripedCircle1,spottedCircle2,23,word10,game116,2,1
redSquare2,blueSquare1,stripedCircle2,spottedCircle2,spottedCircle2,blueSquare1,24,word16,game116,1,2
redSquare2,spottedCircle1,stripedCircle2,blueSquare1,blueSquare1,stripedCircle2,25,word16,game116,2,1
spottedCircle1,redSquare2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,26,word11,game116,1,2
redSquare1,blueSquare1,redSquare2,blueSquare2,blueSquare2,blueSquare2,27,word3,game116,2,1
blueSquare2,redSquare1,spottedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,28,word1,game116,1,2
redSquare2,spottedCircle2,redSquare1,stripedCircle2,stripedCircle2,stripedCircle2,29,word9,game116,2,1
stripedCircle2,blueSquare2,stripedCircle1,blueSquare1,blueSquare1,blueSquare2,30,word3,game116,1,2
spottedCircle2,stripedCircle2,redSquare2,stripedCircle1,stripedCircle1,stripedCircle1,31,word10,game116,2,1
stripedCircle1,redSquare2,spottedCircle1,stripedCircle2,stripedCircle2,spottedCircle1,32,word6,game116,1,2
redSquare2,spottedCircle1,stripedCircle2,redSquare1,redSquare1,redSquare1,33,word13,game116,2,1
spottedCircle2,stripedCircle1,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,34,word2,game116,1,2
redSquare2,redSquare1,spottedCircle2,blueSquare1,blueSquare1,redSquare2,35,word16,game116,2,1
blueSquare1,redSquare1,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,36,word2,game116,1,2
redSquare2,blueSquare1,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,37,word9,game116,2,1
blueSquare1,spottedCircle1,redSquare1,redSquare2,redSquare2,blueSquare1,38,word9,game116,1,2
stripedCircle1,redSquare1,blueSquare2,blueSquare1,blueSquare1,blueSquare2,39,word16,game116,2,1
spottedCircle2,redSquare1,stripedCircle1,stripedCircle2,stripedCircle2,spottedCircle2,40,word1,game116,1,2
blueSquare1,stripedCircle1,spottedCircle1,spottedCircle2,spottedCircle2,stripedCircle1,41,word11,game116,2,1
blueSquare1,redSquare2,stripedCircle2,blueSquare2,blueSquare2,blueSquare2,42,word3,game116,1,2
stripedCircle1,blueSquare2,spottedCircle1,redSquare1,redSquare1,redSquare1,43,word13,game116,2,1
redSquare1,stripedCircle2,redSquare2,spottedCircle2,spottedCircle2,spottedCircle2,44,word11,game116,1,2
redSquare2,stripedCircle2,spottedCircle2,stripedCircle1,stripedCircle1,redSquare2,45,word10,game116,2,1
spottedCircle2,stripedCircle1,redSquare1,blueSquare2,blueSquare2,blueSquare2,46,word3,game116,1,2
blueSquare2,stripedCircle1,stripedCircle2,redSquare2,redSquare2,stripedCircle1,47,word5,game116,2,1
blueSquare1,spottedCircle2,redSquare1,stripedCircle1,stripedCircle1,spottedCircle2,48,word2,game116,1,2
stripedCircle2,redSquare1,spottedCircle1,blueSquare2,blueSquare2,blueSquare2,49,word3,game116,2,1
spottedCircle2,spottedCircle1,redSquare1,stripedCircle2,stripedCircle2,spottedCircle1,50,word1,game116,1,2
redSquare2,blueSquare1,redSquare1,blueSquare2,blueSquare2,blueSquare2,51,word3,game116,2,1
redSquare2,stripedCircle1,spottedCircle1,stripedCircle2,stripedCircle2,spottedCircle1,52,word1,game116,1,2
stripedCircle2,blueSquare2,blueSquare1,redSquare2,redSquare2,redSquare2,53,word5,game116,2,1
spottedCircle2,stripedCircle1,blueSquare2,redSquare1,redSquare1,redSquare1,54,word13,game116,1,2
spottedCircle2,stripedCircle2,blueSquare1,stripedCircle1,stripedCircle1,spottedCircle2,55,word10,game116,2,1
redSquare2,spottedCircle2,stripedCircle2,spottedCircle1,spottedCircle1,stripedCircle2,56,word12,game116,1,2
redSquare2,blueSquare2,spottedCircle2,redSquare1,redSquare1,redSquare1,57,word13,game116,2,1
stripedCircle2,redSquare2,blueSquare2,spottedCircle2,spottedCircle2,spottedCircle2,58,word11,game116,1,2
spottedCircle1,redSquare2,blueSquare2,blueSquare1,blueSquare1,redSquare2,59,word16,game116,2,1
spottedCircle2,redSquare1,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,60,word16,game116,1,2
spottedCircle1,blueSquare1,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,61,word11,game116,2,1
redSquare2,redSquare1,stripedCircle2,blueSquare1,blueSquare1,stripedCircle2,62,word16,game116,1,2
spottedCircle1,redSquare1,stripedCircle2,redSquare2,redSquare2,redSquare2,63,word5,game116,2,1
stripedCircle1,stripedCircle2,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,64,word2,game116,1,2
stripedCircle2,redSquare1,redSquare2,spottedCircle2,spottedCircle2,spottedCircle2,65,word11,game116,2,1
