object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,condition,contextType,wordID,id,speakerID,listenerID
blueSquare2,stripedCircle1,blueSquare1,redSquare2,redSquare2,blueSquare1,1,intermediateOnly,basic,word15,game22,2,1
blueSquare2,redSquare2,stripedCircle1,spottedCircle2,spottedCircle2,stripedCircle1,2,intermediateOnly,basic,word5,game22,1,2
blueSquare1,spottedCircle1,spottedCircle2,redSquare1,redSquare1,redSquare1,3,intermediateOnly,basic,word15,game22,2,1
spottedCircle1,redSquare2,redSquare1,stripedCircle2,stripedCircle2,redSquare1,4,intermediateOnly,basic,word10,game22,1,2
spottedCircle1,redSquare1,spottedCircle2,blueSquare1,blueSquare1,blueSquare1,5,intermediateOnly,basic,word8,game22,2,1
stripedCircle1,blueSquare1,redSquare1,spottedCircle1,spottedCircle1,spottedCircle1,6,intermediateOnly,basic,word10,game22,1,2
redSquare2,spottedCircle1,spottedCircle2,blueSquare2,blueSquare2,spottedCircle1,7,intermediateOnly,basic,word3,game22,2,1
redSquare1,spottedCircle1,redSquare2,stripedCircle1,stripedCircle1,stripedCircle1,8,intermediateOnly,basic,word4,game22,1,2
redSquare2,stripedCircle2,blueSquare2,spottedCircle2,spottedCircle2,spottedCircle2,9,intermediateOnly,basic,word5,game22,2,1
spottedCircle1,stripedCircle2,redSquare1,blueSquare1,blueSquare1,blueSquare1,10,intermediateOnly,basic,word3,game22,1,2
blueSquare2,stripedCircle1,spottedCircle1,redSquare1,redSquare1,spottedCircle1,11,intermediateOnly,basic,word10,game22,2,1
redSquare1,spottedCircle1,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,12,intermediateOnly,basic,word4,game22,1,2
stripedCircle1,spottedCircle1,redSquare2,blueSquare2,blueSquare2,blueSquare2,13,intermediateOnly,basic,word3,game22,2,1
blueSquare2,redSquare1,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,14,intermediateOnly,basic,word10,game22,1,2
spottedCircle2,blueSquare1,redSquare1,stripedCircle2,stripedCircle2,stripedCircle2,15,intermediateOnly,basic,word4,game22,2,1
blueSquare2,stripedCircle2,spottedCircle1,redSquare2,redSquare2,redSquare2,16,intermediateOnly,basic,word15,game22,1,2
stripedCircle1,blueSquare2,blueSquare1,spottedCircle2,spottedCircle2,spottedCircle2,17,intermediateOnly,basic,word5,game22,2,1
stripedCircle1,stripedCircle2,blueSquare2,redSquare2,redSquare2,redSquare2,18,intermediateOnly,basic,word15,game22,1,2
stripedCircle1,redSquare2,spottedCircle2,blueSquare2,blueSquare2,blueSquare2,19,intermediateOnly,basic,word3,game22,2,1
blueSquare2,stripedCircle2,redSquare1,spottedCircle1,spottedCircle1,spottedCircle1,20,intermediateOnly,basic,word10,game22,1,2
blueSquare1,blueSquare2,stripedCircle2,redSquare1,redSquare1,redSquare1,21,intermediateOnly,basic,word2,game22,2,1
spottedCircle1,redSquare2,redSquare1,stripedCircle2,stripedCircle2,stripedCircle2,22,intermediateOnly,basic,word4,game22,1,2
blueSquare1,spottedCircle1,spottedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,23,intermediateOnly,basic,word4,game22,2,1
redSquare2,stripedCircle2,spottedCircle1,blueSquare1,blueSquare1,blueSquare1,24,intermediateOnly,basic,word3,game22,1,2
blueSquare2,stripedCircle1,stripedCircle2,redSquare1,redSquare1,redSquare1,25,intermediateOnly,basic,word2,game22,2,1
stripedCircle1,redSquare1,spottedCircle1,blueSquare2,blueSquare2,blueSquare2,26,intermediateOnly,basic,word3,game22,1,2
blueSquare2,spottedCircle2,spottedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,27,intermediateOnly,basic,word4,game22,2,1
blueSquare2,redSquare1,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,28,intermediateOnly,basic,word10,game22,1,2
spottedCircle1,blueSquare1,stripedCircle2,redSquare2,redSquare2,redSquare2,29,intermediateOnly,basic,word15,game22,2,1
blueSquare2,redSquare2,spottedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,30,intermediateOnly,basic,word4,game22,1,2
blueSquare1,stripedCircle1,blueSquare2,spottedCircle2,spottedCircle2,spottedCircle2,31,intermediateOnly,basic,word5,game22,2,1
spottedCircle1,stripedCircle2,redSquare2,blueSquare1,blueSquare1,blueSquare1,32,intermediateOnly,basic,word3,game22,1,2
spottedCircle2,redSquare1,redSquare2,stripedCircle1,stripedCircle1,stripedCircle1,33,intermediateOnly,basic,word4,game22,2,1
spottedCircle1,blueSquare1,redSquare2,stripedCircle2,stripedCircle2,stripedCircle2,34,intermediateOnly,basic,word4,game22,1,2
spottedCircle2,redSquare1,stripedCircle2,blueSquare1,blueSquare1,blueSquare1,35,intermediateOnly,basic,word3,game22,2,1
blueSquare2,blueSquare1,stripedCircle1,redSquare2,redSquare2,redSquare2,36,intermediateOnly,basic,word15,game22,1,2
spottedCircle1,stripedCircle2,blueSquare2,redSquare1,redSquare1,redSquare1,37,intermediateOnly,basic,word2,game22,2,1
stripedCircle1,spottedCircle2,redSquare2,blueSquare2,blueSquare2,blueSquare2,38,intermediateOnly,basic,word3,game22,1,2
redSquare2,stripedCircle2,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,39,intermediateOnly,basic,word5,game22,2,1
redSquare1,blueSquare2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,40,intermediateOnly,basic,word5,game22,1,2
redSquare1,stripedCircle1,stripedCircle2,blueSquare1,blueSquare1,blueSquare1,41,intermediateOnly,basic,word3,game22,2,1
redSquare1,stripedCircle1,blueSquare2,spottedCircle1,spottedCircle1,spottedCircle1,42,intermediateOnly,basic,word10,game22,1,2
spottedCircle1,blueSquare1,stripedCircle1,redSquare2,redSquare2,redSquare2,43,intermediateOnly,basic,word15,game22,2,1
blueSquare1,spottedCircle1,redSquare1,stripedCircle1,stripedCircle1,stripedCircle1,44,intermediateOnly,basic,word4,game22,1,2
stripedCircle2,redSquare1,spottedCircle2,blueSquare2,blueSquare2,blueSquare2,45,intermediateOnly,basic,word3,game22,2,1
spottedCircle2,blueSquare1,blueSquare2,stripedCircle2,stripedCircle2,stripedCircle2,46,intermediateOnly,basic,word4,game22,1,2
stripedCircle2,spottedCircle2,blueSquare2,redSquare1,redSquare1,redSquare1,47,intermediateOnly,basic,word2,game22,2,1
stripedCircle2,stripedCircle1,redSquare1,spottedCircle2,spottedCircle2,spottedCircle2,48,intermediateOnly,basic,word5,game22,1,2
blueSquare2,spottedCircle1,redSquare2,stripedCircle1,stripedCircle1,stripedCircle1,49,intermediateOnly,basic,word4,game22,2,1
redSquare2,spottedCircle2,spottedCircle1,blueSquare1,blueSquare1,blueSquare1,50,intermediateOnly,basic,word3,game22,1,2
blueSquare1,spottedCircle1,spottedCircle2,redSquare1,redSquare1,redSquare1,51,intermediateOnly,basic,word2,game22,2,1
blueSquare2,spottedCircle2,blueSquare1,redSquare2,redSquare2,redSquare2,52,intermediateOnly,basic,word15,game22,1,2
spottedCircle1,redSquare1,stripedCircle2,blueSquare2,blueSquare2,blueSquare2,53,intermediateOnly,basic,word3,game22,2,1
redSquare2,redSquare1,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,54,intermediateOnly,basic,word10,game22,1,2
redSquare2,spottedCircle1,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,55,intermediateOnly,basic,word4,game22,2,1
redSquare1,stripedCircle1,blueSquare1,spottedCircle2,spottedCircle2,spottedCircle2,56,intermediateOnly,basic,word5,game22,1,2
stripedCircle2,redSquare2,spottedCircle1,blueSquare1,blueSquare1,blueSquare1,57,intermediateOnly,basic,word3,game22,2,1
blueSquare1,spottedCircle2,blueSquare2,stripedCircle2,stripedCircle2,stripedCircle2,58,intermediateOnly,basic,word4,game22,1,2
stripedCircle2,blueSquare2,blueSquare1,spottedCircle2,spottedCircle2,spottedCircle2,59,intermediateOnly,basic,word5,game22,2,1
spottedCircle1,stripedCircle1,redSquare1,blueSquare2,blueSquare2,blueSquare2,60,intermediateOnly,basic,word3,game22,1,2
blueSquare2,blueSquare1,stripedCircle2,redSquare1,redSquare1,redSquare1,61,intermediateOnly,basic,word2,game22,2,1
redSquare2,blueSquare1,spottedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,62,intermediateOnly,basic,word4,game22,1,2
stripedCircle1,blueSquare1,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,63,intermediateOnly,basic,word5,game22,2,1
spottedCircle1,stripedCircle1,blueSquare2,redSquare2,redSquare2,redSquare2,64,intermediateOnly,basic,word15,game22,1,2
stripedCircle2,blueSquare1,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,65,intermediateOnly,basic,word5,game22,2,1
blueSquare2,spottedCircle1,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,66,intermediateOnly,basic,word4,game22,1,2
redSquare1,spottedCircle1,stripedCircle2,blueSquare2,blueSquare2,blueSquare2,67,intermediateOnly,basic,word3,game22,2,1
blueSquare2,redSquare2,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,68,intermediateOnly,basic,word4,game22,1,2
blueSquare1,stripedCircle1,redSquare1,spottedCircle2,spottedCircle2,spottedCircle2,69,intermediateOnly,basic,word5,game22,2,1
blueSquare2,blueSquare1,stripedCircle1,redSquare2,redSquare2,redSquare2,70,intermediateOnly,basic,word15,game22,1,2
blueSquare1,stripedCircle1,blueSquare2,redSquare1,redSquare1,redSquare1,71,intermediateOnly,basic,word2,game22,2,1
